strain	density	hga	run	tsvfile
WT	LD	Y	R4	112421_49_abundance.tsv
WT	LD	N	R4	112421_50_abundance.tsv
WT	HD	Y	R4	112421_51_abundance.tsv
WT	HD	N	R4	112421_52_abundance.tsv
lqsR	LD	Y	R4	112421_53_abundance.tsv
lqsR	LD	N	R4	112421_54_abundance.tsv
lqsR	HD	Y	R4	112421_55_abundance.tsv
lqsR	HD	N	R4	112421_56_abundance.tsv
WT	LD	Y	R5	112421_57_abundance.tsv
WT	LD	N	R5	112421_58_abundance.tsv
WT	HD	Y	R5	112421_59_abundance.tsv
WT	HD	N	R5	112421_60_abundance.tsv
lqsR	LD	Y	R5	112421_61_abundance.tsv
lqsR	LD	N	R5	112421_62_abundance.tsv
lqsR	HD	Y	R5	112421_63_abundance.tsv
lqsR	HD	N	R5	112421_64_abundance.tsv
WT	LD	Y	R6	112421_65_abundance.tsv
WT	LD	N	R6	112421_66_abundance.tsv
WT	HD	Y	R6	112421_67_abundance.tsv
WT	HD	N	R6	112421_68_abundance.tsv
lqsR	LD	Y	R6	112421_69_abundance.tsv
lqsR	LD	N	R6	112421_70_abundance.tsv
lqsR	HD	Y	R6	112421_71_abundance.tsv
lqsR	HD	N	R6	112421_72_abundance.tsv
