"AAU,gene:lpg4092",lpg4092
"AAU26109,gene:lpg0001",lpg0001
"AAU26110,gene:lpg0002",lpg0002
"AAU26111,gene:lpg0003",lpg0003
"AAU26112,gene:lpg0004",lpg0004
"AAU26113,gene:lpg0005",lpg0005
"AAU26114,gene:lpg0006",lpg0006
"AAU26115,gene:lpg0007",lpg0007
"AAU26116,gene:lpg0008",lpg0008
"AAU26117,gene:lpg0009",lpg0009
"AAU26118,gene:lpg0010",lpg0010
"AAU26119,gene:lpg0011",lpg0011
"AAU26120,gene:lpg0012",lpg0012
"AAU26121,gene:lpg0013",lpg0013
"AAU26122,gene:lpg0014",lpg0014
"AAU26123,gene:lpg0015",lpg0015
"AAU26124,gene:lpg0016",lpg0016
"AAU26125,gene:lpg0017",lpg0017
"AAU26126,gene:lpg0018",lpg0018
"AAU26127,gene:lpg0019",lpg0019
"AAU26128,gene:lpg0020",lpg0020
"AAU26129,gene:lpg0021",lpg0021
"AAU26130,gene:lpg0022",lpg0022
"AAU26131,gene:lpg0023",lpg0023
"AAU26132,gene:lpg0024",lpg0024
"AAU26133,gene:lpg0025",lpg0025
"AAU26134,gene:lpg0026",lpg0026
"AAU26135,gene:lpg0027",lpg0027
"AAU26136,gene:lpg0028",lpg0028
"AAU26137,gene:lpg0029",lpg0029
"AAU26138,gene:lpg0030",lpg0030
"AAU26139,gene:lpg0031",lpg0031
"AAU26140,gene:lpg0032",lpg0032
"AAU26141,gene:lpg0033",lpg0033
"AAU26142,gene:lpg0034",lpg0034
"AAU26143,gene:lpg0035",lpg0035
"AAU26144,gene:lpg0036",lpg0036
"AAU26145,gene:lpg0037",lpg0037
"AAU26146,gene:lpg0038",lpg0038
"AAU26147,gene:lpg0039",lpg0039
"AAU26148,gene:lpg0040",lpg0040
"AAU26149,gene:lpg0041",lpg0041
"AAU26150,gene:lpg0042",lpg0042
"AAU26151,gene:lpg0043",lpg0043
"AAU26152,gene:lpg0044",lpg0044
"AAU26153,gene:lpg0045",lpg0045
"AAU26154,gene:lpg0046",lpg0046
"AAU26155,gene:lpg0047",lpg0047
"AAU26156,gene:lpg0048",lpg0048
"AAU26157,gene:lpg0049",lpg0049
"AAU26158,gene:lpg0050",lpg0050
"AAU26159,gene:lpg0051",lpg0051
"AAU26160,gene:lpg0052",lpg0052
"AAU26161,gene:lpg0053",lpg0053
"AAU26162,gene:lpg0054",lpg0054
"AAU26163,gene:lpg0055",lpg0055
"AAU26164,gene:lpg0056",lpg0056
"AAU26165,gene:lpg0057",lpg0057
"AAU26166,gene:lpg0058",lpg0058
"AAU26167,gene:lpg0059",lpg0059
